Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,31.5993,31.7373,31.4219,31.5205,44784462,71.2557,71.7239,70.924,71.1289,13113479,259.394,260.724,258.0121,259.2955,1514754,111.9729,112.5334,111.5586,111.7487,9921175,55.7987,56.4621,55.506,56.0718,8426712,54.0204,54.1366,52.9404,53.1777,26874569
2018-03-21,31.5402,31.9837,31.2248,31.4121,64546309,71.3825,72.4457,70.9045,71.519,16374654,259.1181,262.5466,256.4581,257.9753,2817633,111.9144,113.6885,111.3295,111.8462,13632983,55.9352,56.7548,55.506,55.7206,8676024,53.2939,53.8364,52.829,53.0711,18997260
2018-03-22,30.9882,31.0375,29.9829,30.111,110271917,70.5534,70.6987,68.1538,68.583,27652345,254.5961,256.9605,248.4484,248.8622,4489285,110.345,110.7349,106.7773,107.177,22550426,54.9401,55.2913,53.1839,53.3107,14900506,52.5093,52.5771,50.5382,50.882,32656339
2018-03-23,30.249,30.3771,28.6326,28.7509,115740203,68.5927,68.9927,66.0859,66.2322,31458884,249.8769,251.1814,241.3057,241.6308,3634249,107.4889,108.1225,104.0674,104.3111,23081509,53.5741,53.6424,50.7252,50.8032,16707825,51.0661,51.2792,49.3419,49.3807,30975803
2018-03-26,29.4605,30.116,29.224,30.0026,83297045,67.4124,68.2903,66.6126,68.066,19156063,246.941,251.5813,244.7736,251.1084,3787177,106.4361,108.3564,105.9049,107.5279,20217469,52.0326,53.1058,51.3593,52.979,11913652,50.3202,50.9014,49.9037,50.6496,26717990
2018-03-27,30.2096,30.2293,28.7903,29.0958,85821839,68.5147,68.8854,65.9493,66.6028,21610765,252.1035,253.2562,241.9756,243.6012,2981484,108.2687,108.8731,104.5938,105.4419,18039921,53.2034,53.5644,51.3496,51.8569,12389403,50.7561,51.1436,49.0998,49.4969,23669292
2018-03-28,29.3619,29.5295,28.5932,28.9677,79396116,66.7979,67.3442,65.8713,66.5833,21711987,245.0987,247.5125,240.754,245.68,2660194,105.5491,106.4165,103.9602,105.2761,19189269,51.9838,52.1253,50.7057,51.6228,11262348,49.555,50.3009,49.3468,49.865,23342454
2018-03-29,29.1451,29.7069,28.8888,29.5591,65678285,66.8369,67.9587,65.842,65.842,22621254,247.079,249.2366,244.6554,248.1331,3073925,105.7635,107.986,105.0617,107.1965,13274639,51.9448,53.1156,51.7301,52.6472,7349163,50.4268,51.0966,50.0974,50.7658,17706766
2018-04-02,29.3718,29.6231,28.3369,28.8888,86644166,66.6516,67.3442,64.9104,66.0468,29975646,247.542,248.8622,240.1628,243.6899,3429894,107.1867,107.9373,103.4046,105.1299,18822525,52.5204,52.7058,50.6764,51.4374,9311031,50.7271,50.7561,48.8334,49.7391,23359785
2018-04-03,29.1155,29.224,28.682,29.1648,69698726,66.3785,66.9735,65.764,66.7979,18822627,244.9312,247.1775,242.2613,246.8721,2488166,105.6271,106.7408,104.5548,106.5726,14050737,51.7203,52.2375,50.9886,51.8765,10335772,50.0974,50.5527,49.4533,50.4462,16646425
2018-04-04,28.5833,29.5394,28.534,29.4506,66640759,65.5103,67.8514,65.4031,67.6075,15651285,242.0741,249.473,240.8929,248.8819,2853211,104.3988,108.4052,104.3209,108.1907,15302608,50.9008,52.4814,50.852,52.3643,6692109,49.526,51.376,49.4097,51.2501,15952721
